Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5142","Nourriture","S2734","Viande de Volailles","2015","2015","Milliers de tonnes","66","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5142","Nourriture","S2734","Viande de Volailles","2015","2015","Milliers de tonnes","2037","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5142","Nourriture","S2734","Viande de Volailles","2015","2015","Milliers de tonnes","34","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5142","Nourriture","S2734","Viande de Volailles","2015","2015","Milliers de tonnes","312","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","5142","Nourriture","S2734","Viande de Volailles","2015","2015","Milliers de tonnes","1450","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","5142","Nourriture","S2734","Viande de Volailles","2015","2015","Milliers de tonnes","272","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","5142","Nourriture","S2734","Viande de Volailles","2015","2015","Milliers de tonnes","5","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","5142","Nourriture","S2734","Viande de Volailles","2015","2015","Milliers de tonnes","1372","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","032","Argentine","5142","Nourriture","S2734","Viande de Volailles","2015","2015","Milliers de tonnes","1925","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","051","Arménie","5142","Nourriture","S2734","Viande de Volailles","2015","2015","Milliers de tonnes","42","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","5142","Nourriture","S2734","Viande de Volailles","2015","2015","Milliers de tonnes","1148","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","040","Autriche","5142","Nourriture","S2734","Viande de Volailles","2015","2015","Milliers de tonnes","164","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","031","Azerbaïdjan","5142","Nourriture","S2734","Viande de Volailles","2015","2015","Milliers de tonnes","114","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","044","Bahamas","5142","Nourriture","S2734","Viande de Volailles","2015","2015","Milliers de tonnes","19","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","050","Bangladesh","5142","Nourriture","S2734","Viande de Volailles","2015","2015","Milliers de tonnes","247","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","052","Barbade","5142","Nourriture","S2734","Viande de Volailles","2015","2015","Milliers de tonnes","14","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","112","Bélarus","5142","Nourriture","S2734","Viande de Volailles","2015","2015","Milliers de tonnes","264","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","056","Belgique","5142","Nourriture","S2734","Viande de Volailles","2015","2015","Milliers de tonnes","129","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","084","Belize","5142","Nourriture","S2734","Viande de Volailles","2015","2015","Milliers de tonnes","9","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","5142","Nourriture","S2734","Viande de Volailles","2015","2015","Milliers de tonnes","214","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","068","Bolivie (État plurinational de)","5142","Nourriture","S2734","Viande de Volailles","2015","2015","Milliers de tonnes","508","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","070","Bosnie-Herzégovine","5142","Nourriture","S2734","Viande de Volailles","2015","2015","Milliers de tonnes","57","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","072","Botswana","5142","Nourriture","S2734","Viande de Volailles","2015","2015","Milliers de tonnes","9","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","076","Brésil","5142","Nourriture","S2734","Viande de Volailles","2015","2015","Milliers de tonnes","9471","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","100","Bulgarie","5142","Nourriture","S2734","Viande de Volailles","2015","2015","Milliers de tonnes","156","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","854","Burkina Faso","5142","Nourriture","S2734","Viande de Volailles","2015","2015","Milliers de tonnes","52","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","108","Burundi","5142","Nourriture","S2734","Viande de Volailles","2015","2015","Milliers de tonnes","5","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","132","Cabo Verde","5142","Nourriture","S2734","Viande de Volailles","2015","2015","Milliers de tonnes","9","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","116","Cambodge","5142","Nourriture","S2734","Viande de Volailles","2015","2015","Milliers de tonnes","28","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","120","Cameroun","5142","Nourriture","S2734","Viande de Volailles","2015","2015","Milliers de tonnes","81","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","124","Canada","5142","Nourriture","S2734","Viande de Volailles","2015","2015","Milliers de tonnes","1365","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","152","Chili","5142","Nourriture","S2734","Viande de Volailles","2015","2015","Milliers de tonnes","682","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","159","Chine","5142","Nourriture","S2734","Viande de Volailles","2015","2015","Milliers de tonnes","19897","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","344","Chine - RAS de Hong-Kong","5142","Nourriture","S2734","Viande de Volailles","2015","2015","Milliers de tonnes","273","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","446","Chine - RAS de Macao","5142","Nourriture","S2734","Viande de Volailles","2015","2015","Milliers de tonnes","21","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","156","Chine, continentale","5142","Nourriture","S2734","Viande de Volailles","2015","2015","Milliers de tonnes","18810","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","158","Chine, Taiwan Province de","5142","Nourriture","S2734","Viande de Volailles","2015","2015","Milliers de tonnes","793","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","196","Chypre","5142","Nourriture","S2734","Viande de Volailles","2015","2015","Milliers de tonnes","28","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","170","Colombie","5142","Nourriture","S2734","Viande de Volailles","2015","2015","Milliers de tonnes","1477","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","174","Comores","5142","Nourriture","S2734","Viande de Volailles","2015","2015","Milliers de tonnes","12","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","178","Congo","5142","Nourriture","S2734","Viande de Volailles","2015","2015","Milliers de tonnes","75","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","188","Costa Rica","5142","Nourriture","S2734","Viande de Volailles","2015","2015","Milliers de tonnes","122","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","384","Côte d'Ivoire","5142","Nourriture","S2734","Viande de Volailles","2015","2015","Milliers de tonnes","48","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","191","Croatie","5142","Nourriture","S2734","Viande de Volailles","2015","2015","Milliers de tonnes","39","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","192","Cuba","5142","Nourriture","S2734","Viande de Volailles","2015","2015","Milliers de tonnes","214","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","208","Danemark","5142","Nourriture","S2734","Viande de Volailles","2015","2015","Milliers de tonnes","104","I","Valeur imputée"
