Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","004","Afghanistan","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","34636.207","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","710","Afrique du Sud","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","56422.274","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","008","Albanie","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","2881.063","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","012","Algérie","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","40339.329","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","276","Allemagne","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","82331.423","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","020","Andorre","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","72.54","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","024","Angola","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","29154.746","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","660","Anguilla","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","14.813","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","028","Antigua-et-Barbuda","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","90.564","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","682","Arabie saoudite","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","33416.27","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","032","Argentine","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","43668.241","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","051","Arménie","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","2865.835","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","533","Aruba","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","104.874","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","036","Australie","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","24195.701","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","040","Autriche","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","8736.487","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","031","Azerbaïdjan","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","9976.248","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","044","Bahamas","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","395.976","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","048","Bahreïn","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","1409.661","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","050","Bangladesh","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","159784.568","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","052","Barbade","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","278.649","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","112","Bélarus","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","9708.11","X","Ciffre de sources internationales",""
