Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","004","Afghanistan","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","35643.418","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","710","Afrique du Sud","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","56641.209","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","008","Albanie","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","2879.355","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","012","Algérie","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","41136.546","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","276","Allemagne","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","82624.374","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","020","Andorre","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","73.837","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","024","Angola","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","30208.628","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","660","Anguilla","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","15.015","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","028","Antigua-et-Barbuda","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","91.119","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","682","Arabie saoudite","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","34193.122","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","032","Argentine","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","44054.616","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","051","Arménie","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","2851.923","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","533","Aruba","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","105.439","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","036","Australie","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","24590.334","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","040","Autriche","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","8797.496","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","031","Azerbaïdjan","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","10071.567","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","044","Bahamas","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","399.02","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","048","Bahreïn","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","1456.834","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","050","Bangladesh","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","161793.964","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","052","Barbade","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","279.187","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","112","Bélarus","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","9707.876","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","056","Belgique","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","11384.489","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","084","Belize","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","374.693","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","204","Bénin","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","11596.779","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","060","Bermudes","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","63.275","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","064","Bhoutan","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","756.121","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","068","Bolivie (État plurinational de)","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","11435.533","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","535","Bonaire, Saint-Eustache et Saba","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","24.366","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","070","Bosnie-Herzégovine","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","3440.027","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","072","Botswana","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","2401.84","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","076","Brésil","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","208504.96","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","096","Brunéi Darussalam","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","430.276","X","Ciffre de sources internationales",""
